Name;Description;Population
"OAHU;Oahu is more than just sand and surf. It s the cosmopolitan hub of the island chain with its
power center in Honolulu, the state capital and the nation s 11th largest city. Oahu offers
some of the state s best beaches, snorkeling, hiking spots, museums, fabulous shopping,
nightlife and five-star restaurants.;953207"
"KAUAI;Kauai may be quiet and small, but it has all the offerings of a Garden of Eden. ""Garden Isle""
offers adventure such as kayaking, in Waimea Canyon, the place described as the ""Grand
Canyon of the Pacific.;72029"
"BIG ISLAND;If you re set on seeing red-hot lava, this is the place to go. The main attraction is Kilauea, the
largest active volcano in the world, which has been giving its most dramatic performance in
years.;186738"
"MAUI;Ranked as the ""Best Island in the World"" for eight years running, this is a place that combines
scenic wonder with the sophistication of world-class resorts, superb restaurants and
spectacular shopping;144444"
"MOLOKAI;There s no McDonald s, no movie theater, not even a stop light. The ""Friendly Isle"" is all about
the simple life. You can really unwind here. Or you can turn from city slickers to cowboy at
Molokai Ranch. ;7404"
"LANAI;On an island where pineapple was once king, golf and tennis, now rule. This is where the
elite come to play. Microsoft s Bill Gates and his bride exchanged their marriage vows on the
golf greens. So peaceful and secluded, Lanai feels like it belongs to another time."" Tranquility
is what you ll find here;3102"
